"Job Title","Salary Estimate","Job Description","Rating","Company Name","Location","Size","Industry"
"Data Analyst","₹13L - ₹18L (Employer est.)","About the role: Kavach Systems is hiring a Data Analyst to join our growing team.

What we are looking for:
- Knowledge of statistics and problem solving.
- Must know Python or Excel for data analysis.
- Experience with pandas and dashboards.
- Excellent communication to explain findings to business teams.
- Strong SQL is required.

You will work with cross-functional teams and own features end to end.","4.6","Kavach Systems
3.5","Noida, Uttar Pradesh","51 to 200 employees","Healthcare"
"Business Analyst","₹14L - ₹18L (Employer est.)","About the role: Mitra Insurance Tech is hiring a Business Analyst to join our growing team.

What we are looking for:
- Familiarity with Python is a plus.
- Problem solving and analytical thinking are mandatory.
- Strong SQL and data analysis skills required.

You will work with cross-functional teams and own features end to end.","3.9","Mitra Insurance Tech
4.4","Gurugram, Haryana","1001 to 5000 employees","Healthcare"
"Business Analyst","₹10L - ₹16L (Employer est.)","About the role: Sankhya Data is hiring a Business Analyst to join our growing team.

What we are looking for:
- Familiarity with Python is a plus.
- Problem solving and analytical thinking are mandatory.
- Excellent communication and stakeholder management.
- Strong SQL and data analysis skills required.

You will work with cross-functional teams and own features end to end.","3.5","Sankhya Data
3.4","Pune, Maharashtra","1001 to 5000 employees","Financial Services"
"Business Analyst","₹10L - ₹19L (Employer est.)","About the role: Sankhya Data is hiring a Business Analyst to join our growing team.

What we are looking for:
- Strong SQL and data analysis skills required.
- Familiarity with Python is a plus.
- Excellent communication and stakeholder management.
- Problem solving and analytical thinking are mandatory.

You will work with cross-functional teams and own features end to end.","3.8","Sankhya Data
3.9","Pune, Maharashtra","1001 to 5000 employees","Financial Services"
"Business Analyst","₹10L - ₹17L (Employer est.)","About the role: Tarang Labs is hiring a Business Analyst to join our growing team.

What we are looking for:
- Problem solving and analytical thinking are mandatory.
- Strong SQL and data analysis skills required.
- Familiarity with Python is a plus.
- Excellent communication and stakeholder management.

You will work with cross-functional teams and own features end to end.","4.3","Tarang Labs
4.3","Pune, Maharashtra","201 to 500 employees","Financial Services"
"Business Analyst","₹5L - ₹8L (Employer est.)","About the role: Prithvi Logistics is hiring a Business Analyst to join our growing team.

What we are looking for:
- Excellent communication and stakeholder management.
- Strong SQL and data analysis skills required.
- Familiarity with Python is a plus.
- Problem solving and analytical thinking are mandatory.

You will work with cross-functional teams and own features end to end.","3.5","Prithvi Logistics
3.7","Gurugram, Haryana","51 to 200 employees","Retail"
"Embedded Software Engineer","₹6L - ₹13L (Employer est.)","About the role: Kavach Systems is hiring a Embedded Software Engineer to join our growing team.

What we are looking for:
- Experience with microcontrollers and RTOS.
- Knowledge of signal processing is a plus.
- Strong C++ and embedded systems experience is required.
- Good problem solving.
- Python scripting for test automation is preferred.

You will work with cross-functional teams and own features end to end.","3.7","Kavach Systems
4.1","Gurugram, Haryana","1001 to 5000 employees","Retail"
"Embedded Software Engineer","₹12L - ₹19L (Employer est.)","About the role: Kiran EdTech is hiring a Embedded Software Engineer to join our growing team.

What we are looking for:
- Knowledge of signal processing is a plus.
- Strong C++ and embedded systems experience is required.
- Experience with microcontrollers and RTOS.

You will work with cross-functional teams and own features end to end.","3.8","Kiran EdTech
3.5","Pune, Maharashtra","1001 to 5000 employees","Financial Services"
"Embedded Software Engineer","₹5L - ₹9L (Employer est.)","About the role: Orbit Mobility is hiring a Embedded Software Engineer to join our growing team.

What we are looking for:
- Python scripting for test automation is preferred.
- Strong C++ and embedded systems experience is required.
- Knowledge of signal processing is a plus.
- Good problem solving.
- Experience with microcontrollers and RTOS.

You will work with cross-functional teams and own features end to end.","3.9","Orbit Mobility
3.9","Chennai, Tamil Nadu","201 to 500 employees","Information Technology"
"Embedded Software Engineer","₹5L - ₹11L (Employer est.)","About the role: Kiran EdTech is hiring a Embedded Software Engineer to join our growing team.

What we are looking for:
- Strong C++ and embedded systems experience is required.
- Experience with microcontrollers and RTOS.
- Python scripting for test automation is preferred.

You will work with cross-functional teams and own features end to end.","3.4","Kiran EdTech
4.6","Gurugram, Haryana","201 to 500 employees","Financial Services"
"Embedded Software Engineer","₹4L - ₹8L (Employer est.)","About the role: Tarang Labs is hiring a Embedded Software Engineer to join our growing team.

What we are looking for:
- Knowledge of signal processing is a plus.
- Good problem solving.
- Experience with microcontrollers and RTOS.
- Python scripting for test automation is preferred.

You will work with cross-functional teams and own features end to end.","4.2","Tarang Labs
3.6","Bengaluru, Karnataka","1001 to 5000 employees","Retail"
"Research Engineer","₹7L - ₹16L (Employer est.)","About the role: Vistara Health Tech is hiring a Research Engineer to join our growing team.

What we are looking for:
- C++ for performance-critical code is a plus.
- Ability to read and implement research papers.
- Experience with signal processing or computer vision.
- Strong Python and deep learning experience required.

You will work with cross-functional teams and own features end to end.","4.6","Vistara Health Tech
4.5","Gurugram, Haryana","201 to 500 employees","Information Technology"
"Research Engineer","₹12L - ₹21L (Employer est.)","About the role: Setu Fintech is hiring a Research Engineer to join our growing team.

What we are looking for:
- Ability to read and implement research papers.
- Experience with signal processing or computer vision.
- C++ for performance-critical code is a plus.
- Strong Python and deep learning experience required.

You will work with cross-functional teams and own features end to end.","3.8","Setu Fintech
4.1","Noida, Uttar Pradesh","201 to 500 employees","Financial Services"
"Research Engineer","₹12L - ₹18L (Employer est.)","About the role: Sankhya Data is hiring a Research Engineer to join our growing team.

What we are looking for:
- C++ for performance-critical code is a plus.
- Ability to read and implement research papers.
- Strong Python and deep learning experience required.

You will work with cross-functional teams and own features end to end.","4.1","Sankhya Data
3.4","Bengaluru, Karnataka","201 to 500 employees","Healthcare"
"Research Engineer","₹4L - ₹10L (Employer est.)","About the role: Ganga Cloud Services is hiring a Research Engineer to join our growing team.

What we are looking for:
- C++ for performance-critical code is a plus.
- Ability to read and implement research papers.
- Strong Python and deep learning experience required.

You will work with cross-functional teams and own features end to end.","3.7","Ganga Cloud Services
4.5","Gurugram, Haryana","1001 to 5000 employees","Retail"
